SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
17206,17207,,UT-00087,CEDAR CITY,84721,IRON,UT,88638.35,63638.35,25000,,0,0,0
17206,17207,,UT-00087,SAINT GEORGE,84790,WASHINGTON,UT,,,,,0,0,0
17206,17207,,UT-00087,CARSON CITY,89705,DOUGLAS,NV,,,,,0,0,0
17215,17216,,PA-00115,LEBANON,17046,LEBANON,PA,,,,,0,0,0
17215,17216,,PA-00115,LANCASTER,17603,LANCASTER,PA,,,,,0,0,0
17215,17216,,PA-00115,POTTSVILLE,17901,SCHUYLKILL,PA,2165,0,2165,,0,0,0
17215,17216,,PA-00115,ALLENTOWN,18103,LEHIGH,PA,,,,,0,0,0
17215,17216,,PA-00115,FLOURTOWN,19031,MONTGOMERY,PA,,,,,0,0,0
17215,17216,,PA-00115,FT WASHINGTON,19034,MONTGOMERY,PA,2180,2180,0,,0,0,0
17215,17216,,PA-00115,CHADDS FORD,19317,Chester,PA,5800,0,5800,119200,0,78700,40500
17215,17216,,PA-00115,COATESVILLE,19320,CHESTER,PA,416914.8,416074.8,840,452000,416200,35800,0
17215,17216,,PA-00115,COCHRANVILLE,19330,CHESTER,PA,,,,,0,0,0
17215,17216,,PA-00115,DOWNINGTOWN,19335,CHESTER,PA,229045.24,224445.24,4600,,0,0,0
17215,17216,,PA-00115,WEST CHESTER,19380,CHESTER,PA,142387,137688,4699,,0,0,0
17215,17216,,PA-00115,WEST CHESTER,19382,CHESTER,PA,7180,1480,5700,11000,1500,9500,0
17215,17216,,PA-00115,EAST NORRITON,19401,MONTGOMERY,PA,,,,,0,0,0
17215,17216,,PA-00115,NORRISTOWN,19401,MONTGOMERY,PA,70041.89,56934.89,13107,33800,24000,4200,5600
17215,17216,,PA-00115,NORRISTOWN,19403,MONTGOMERY,PA,,,,,0,0,0
17215,17216,,PA-00115,COLLEGEVILLE,19426,MONTGOMERY,PA,333386.01,320016.01,13370,345800,319100,26700,0
17215,17216,,PA-00115,MONT CLARE,19453,MONTGOMERY,PA,49786,49786,0,,0,0,0
17215,17216,,PA-00115,POTTSTOWN,19464,MONTGOMERY,PA,,,,,0,0,0
17215,17216,,PA-00115,ROYERSFORD,19468,MONTGOMERY,PA,18820,14606,4214,,0,0,0
17215,17216,,PA-00115,SPRING MOUNT,19478,MONTGOMERY,PA,1210,0,1210,7800,0,7800,0
17215,17216,,PA-00115,DOUGLAS,19518,BERKS,PA,48453.97,44403.97,4050,,0,0,0
17215,17216,,PA-00115,MOHNTON,19540,BERKS,PA,16826,11001,5825,,0,0,0
17215,17216,,PA-00115,SHARTLESVILLE,19554,BERKS,PA,54259.9,50259.9,4000,,0,0,0
17215,17216,,PA-00115,WERNERSVILLE,19565,BERKS,PA,29934,26934,3000,,0,0,0
17215,17216,,PA-00115,READING,19601,BERKS,PA,,,,,0,0,0
17215,17216,,PA-00115,READING,19602,BERKS,PA,36792,36792,0,,0,0,0
17217,17218,4618,PA-00116,WHITE HAVEN,18661,LUZERNE,PA,,,,,0,0,0
17217,17218,4618,PA-00116,PHILADELPHIA,19130,PHILADELPHIA,PA,12217,10061,2156,,0,0,0
17217,17218,4618,PA-00116,PHILADELPHIA,19144,PHILADELPHIA,PA,3200,0,3200,,0,0,0
17217,17218,4618,PA-00116,CHADDS FORD,19317,DELAWARE,PA,2586658.81,2358912.81,227746,,0,0,0
17217,17218,4618,PA-00116,MONT CLARE,19453,MONTGOMERY,PA,219046.69,205886.69,13160,196200,180800,15400,0
17219,17220,,AZ-00076,PHOENIX,85044,MARICOPA,AZ,,,,,0,0,0
17219,17220,,AZ-00076,DESERT HILLS,85086,MARICOPA,AZ,,,,,0,0,0
17219,17220,,AZ-00076,APACHE JCT,85120,PINAL,AZ,,,,,0,0,0
17219,17220,,AZ-00076,MESA,85204,MARICOPA,AZ,,,,,0,0,0
17219,17220,,AZ-00076,TUCSON,85711,PIMA,AZ,,,,,0,0,0
17221,17222,,GA-00131,MARIETTA,30067,COBB,GA,70544.63,64684.63,5860,,0,0,0
17221,17222,,GA-00131,ACWORTH,30101,COBB,GA,0,0,0,,0,0,0
17221,17222,,GA-00131,MABLETON,30126,COBB,GA,,,,,0,0,0
17221,17222,,GA-00131,WINSTON,30187,DOUGLAS,GA,,,,,0,0,0
17221,17222,,GA-00131,WOODSTOCK,30189,CHEROKEE,GA,,,,,0,0,0
17221,17222,,GA-00131,UNION CITY,30291,FULTON,GA,,,,,0,0,0
17221,17222,,GA-00131,ATLANTA,30309,FULTON,GA,150,0,150,,0,0,0
17221,17222,,GA-00131,ATLANTA,30326,FULTON,GA,,,,,0,0,0
17223,17224,4625,NY-00210,CAMILLUS,13031,ONONDAGA,NY,83662,76432,7230,,0,0,0
17229,17230,,MD-00043,MIDDLETOWN,19709,NEW CASTLE,DE,900,0,900,25900,0,900,25000
17229,17230,,MD-00043,WILMINGTON,19801,NEW CASTLE,DE,,,,,0,0,0
17229,17230,,MD-00043,WILMINGTON,19802,NEW CASTLE,DE,247799.82,230133.82,17666,,0,0,0
17229,17230,,MD-00043,WASHINGTON,20006,DISTRICT OF COLUMBIA,DC,0,0,0,25000,0,0,25000
17229,17230,,MD-00043,WASHINGTON,20009,DISTRICT OF COLUMBIA,DC,,,,,0,0,0
17229,17230,,MD-00043,WASHINGTON,20019,DISTRICT OF COLUMBIA,DC,,,,,0,0,0
17229,17230,,MD-00043,WASHINGTON,20020,DISTRICT OF COLUMBIA,DC,,,,,0,0,0
17229,17230,,MD-00043,WASHINGTON,20036,DISTRICT OF COLUMBIA,DC,,,,,0,0,0
17229,17230,,MD-00043,PURCELLVILLE,20132,LOUDOUN,VA,,,,,0,0,0
17229,17230,,MD-00043,ASHBURN,20148,LOUDOUN,VA,,,,,0,0,0
17229,17230,,MD-00043,LEESBURG,20175,LOUDOUN,VA,,,,,0,0,0
17229,17230,,MD-00043,LANHAM,20706,PRINCE GEORGES,MD,,,,,0,0,0
17229,17230,,MD-00043,MOUNT RAINIER,20712,PRINCE GEORGES,MD,,,,,0,0,0
17229,17230,,MD-00043,BOWIE,20721,PRINCE GEORGES,MD,,,,,0,0,0
17229,17230,,MD-00043,LAUREL,20724,ANNE ARUNDEL,MD,,,,,0,0,0
17229,17230,,MD-00043,COLLEGE PARK,20740,PRINCE GEORGES,MD,,,,,0,0,0
17229,17230,,MD-00043,FT WASHINGTON,20744,PRINCE GEORGES,MD,,,,,0,0,0
17229,17230,,MD-00043,OXON HILL,20745,PRINCE GEORGES,MD,,,,,0,0,0
17229,17230,,MD-00043,SUITLAND,20746,PRINCE GEORGES,MD,,,,,0,0,0
17229,17230,,MD-00043,DISTRICT HTS,20747,PRINCE GEORGES,MD,,,,,0,0,0
17229,17230,,MD-00043,GREENBELT,20770,PRINCE GEORGES,MD,,,,,0,0,0
17229,17230,,MD-00043,UPPR MARLBORO,20772,PRINCE GEORGES,MD,,,,,0,0,0
17229,17230,,MD-00043,UPPR MARLBORO,20774,PRINCE GEORGES,MD,,,,,0,0,0
17229,17230,,MD-00043,HYATTSVILLE,20781,PRINCE GEORGES,MD,17003.03,0,17003.03,,0,0,0
17229,17230,,MD-00043,HYATTSVILLE,20783,PRINCE GEORGES,MD,,,,,0,0,0
17229,17230,,MD-00043,HYATTSVILLE,20785,PRINCE GEORGES,MD,,,,,0,0,0
17229,17230,,MD-00043,BETHESDA,20814,MONTGOMERY,MD,,,,,0,0,0
17229,17230,,MD-00043,BETHESDA,20817,MONTGOMERY,MD,,,,,0,0,0
17229,17230,,MD-00043,POTOMAC,20854,MONTGOMERY,MD,,,,,0,0,0
17229,17230,,MD-00043,DAMASCUS,20872,MONTGOMERY,MD,,,,,0,0,0
17229,17230,,MD-00043,GAITHERSBURG,20877,MONTGOMERY,MD,,,,,0,0,0
17229,17230,,MD-00043,GAITHERSBURG,20878,MONTGOMERY,MD,,,,,0,0,0
